Index,parent_id,child_id
192,735384,700073
193,735384,7238860
194,735385,713513
195,735385,7238860
196,735268,723418
197,735268,7243720
198,735269,723385
199,735269,7243720
200,735926,729165
201,735926,7233342
203,740354,712882
204,740354,7239407
205,740353,729198
206,740353,7244482
207,740505,740198
208,740505,7239641
209,739986,719090
210,739986,7230145
211,747515,747423
212,744478,744132
213,744478,7241524
214,744479,744132
215,744479,7241238
216,745951,744132
217,745951,741998
218,745951,7241238
219,748601,742882
220,748601,7241238
227,7800066,7800056
255,7800103,7800100
258,7800105,7800101
259,7800107,7800052
260,7800111,7800137
261,7800112,7800138
262,7800113,7800136
263,7800114,7800137
264,7800115,7800138
265,7800116,7800119
266,7800117,7800118
267,7800120,7210485
268,7800121,7210484
269,7800126,7800164
270,7800142,7800141
271,7800159,7800156
272,7800163,7800162
273,7800165,7800073
274,7800166,7800073
275,7800167,7800164
276,7800175,7800201
277,7800177,7800084
278,7800180,7800163
279,7800180,7801605
280,7800180,7208217
281,7800184,7800181
282,7800185,7800182
283,7800186,7800183
284,7800192,7800203
285,7800194,150017
286,7800148,7800146
287,7800189,102081
288,7800190,100884
289,7800206,7800172
290,7800294,7800032
291,7800022,7800047
292,7800024,7800032
293,7800039,7800047
294,7800133,7800091
295,990613,7801759
296,7800346,7800055
297,7800303,7800164
298,7800132,7800132
299,7800085,7800085
300,7800304,7800353
301,7801539,7800054
302,7801606,7800164
303,7800139,7800164
304,7801789,7800145
305,7801869,7800032
306,7801935,7800032
307,7802188,7801733
308,7202858,7203086
309,7202858,7224187
310,7202859,7203086
311,7202859,7224188
312,7202860,7203171
313,7202860,7203440
314,7202860,7203222
315,7202860,7203340
316,7202860,7203408
317,7202861,7203172
318,7202861,7203440
319,7202861,7203223
320,7202861,7203340
321,7202861,7203409
322,7202864,7203087
323,7202864,7224454
324,7202865,7203087
325,7202865,7224453
326,7202866,7203089
327,7202866,7203211
328,7202866,7203216
329,7202867,7203090
330,7202867,7203211
331,7202867,7203216
332,7202872,7212493
333,7202872,7210692
334,7202872,7210486
335,7202873,7212462
336,7202873,7211940
